T, <E>, <|M|>, Cv, Chi
10.00, -0.103, 0.034, 0.011, 0.075
9.50, -0.108, 0.035, 0.012, 0.081
9.00, -0.113, 0.036, 0.013, 0.088
8.50, -0.120, 0.036, 0.015, 0.096
8.00, -0.129, 0.037, 0.017, 0.106
7.50, -0.138, 0.038, 0.019, 0.119
7.00, -0.148, 0.039, 0.023, 0.135
6.50, -0.160, 0.040, 0.027, 0.151
6.00, -0.174, 0.041, 0.032, 0.178
5.50, -0.193, 0.044, 0.039, 0.216
5.00, -0.215, 0.046, 0.049, 0.268
4.50, -0.242, 0.049, 0.063, 0.332
4.00, -0.280, 0.054, 0.086, 0.456
3.50, -0.331, 0.062, 0.124, 0.694
3.00, -0.409, 0.082, 0.198, 1.400
2.50, -0.558, 0.171, 0.426, 6.540
2.00, -0.872, 0.456, 0.388, 0.165
1.50, -0.977, 0.493, 0.319, 0.034
1.00, -1.000, 0.500, 0.391, 0.026
